student_id,age,gender,study_hours_per_day,sleep_hours,social_media_hours,attendance_percentage,assignment_completion_rate,stress_level,burnout_level,exam_score
1,24,Male,4.5,5.9,3.0,86.5,45.5,6,Medium,42.1
2,21,Male,5.3,5.7,4.5,59.2,43.6,1,Low,38.3
3,22,Male,8.7,4.9,3.4,67.3,76.3,6,Medium,52.6
4,24,Male,4.1,7.0,0.5,83.2,98.0,4,Low,44.9
5,20,Female,8.8,6.4,1.1,74.1,70.2,4,Low,66.2
6,25,Male,1.8,8.3,1.3,86.9,43.1,5,Medium,26.2
7,22,Male,8.0,4.2,1.5,98.1,53.3,9,High,48.8
8,22,Male,8.6,7.2,3.4,55.8,54.7,1,Low,62.9
9,24,Female,2.6,7.8,3.0,85.5,60.3,3,Low,35.3
10,19,Male,4.9,7.8,1.2,61.5,42.6,4,Low,37.5
11,20,Male,2.5,8.4,0.4,70.7,94.3,2,Low,33.6
12,24,Female,7.4,7.6,1.0,51.6,70.9,9,Medium,29.7
13,20,Female,5.8,8.6,5.9,56.8,80.3,7,Medium,36.3
14,20,Male,6.7,5.7,2.8,66.0,44.0,1,Low,52.1
15,25,Male,2.8,6.5,5.2,67.1,43.2,9,Medium,21.8
16,22,Male,2.9,4.1,5.1,95.0,75.2,6,Medium,31.1
17,21,Male,1.4,4.0,3.1,87.1,93.2,2,Low,32.0
18,25,Male,3.9,5.2,4.2,98.6,71.7,1,Low,49.4
19,25,Female,6.0,4.5,1.2,80.0,92.7,6,Medium,39.3
20,20,Female,8.7,5.3,4.1,62.1,88.7,7,Medium,43.6
21,23,Male,7.0,4.9,1.6,66.4,44.6,10,High,39.0
22,22,Male,4.9,4.1,5.0,66.0,52.1,6,Medium,28.0
23,19,Female,9.6,8.5,0.5,66.3,79.5,7,Medium,52.2
24,25,Male,7.5,4.0,4.6,83.6,66.6,6,Medium,48.7
25,21,Male,9.4,7.7,0.6,76.5,57.4,8,Medium,55.8
26,23,Male,5.7,4.8,5.3,69.3,65.1,2,Low,48.7
27,23,Male,3.3,8.6,1.8,57.5,66.7,9,Medium,8.0
28,19,Male,1.5,8.5,3.9,51.1,94.6,9,Medium,1.2
29,25,Female,7.5,7.3,2.9,60.9,46.2,9,Medium,33.9
30,21,Male,2.1,7.4,2.2,55.4,56.8,7,Medium,12.0
31,22,Male,3.7,4.0,3.9,89.3,72.3,9,High,17.3
